"","X","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","P0hPa","PseahPa","Precmm","Nt","HKm","InsoD1","Viskm"
"198",198,"2021-01-06 18:00:00",35,2,13,38.6,NA,"E",18.5,984.3,1009.1,"0.0/12h",3,2.5,NA,10
"197",197,"2021-01-06 21:00:00",29,3.8,20,NA,NA,"CAL",0,985.9,1010.7,NA,3,2.5,NA,10
"196",196,"2021-01-07 00:00:00",25,4,26,NA,NA,"CAL",0,985.5,1010.1,"0.0/6h",3,2.5,NA,10
"195",195,"2021-01-07 03:00:00",22.8,1.1,24,NA,NA,"CAL",0,984.6,1009.2,NA,3,2.5,NA,10
"194",194,"2021-01-07 06:00:00",21.5,2.4,28,NA,21.4,"CAL",0,986.1,1010.9,"0.0/24h",3,2.5,11,10
"193",193,"2021-01-07 09:00:00",27.5,0.5,17,NA,NA,"N",14.8,987.5,1012.4,NA,3,2.5,NA,10
"192",192,"2021-01-07 12:00:00",36,-1.1,9,NA,NA,"NNE",18.5,985.7,1010.3,"0.0/6h",3,2.5,NA,10
"191",191,"2021-01-07 21:00:00",29.5,3.8,19,NA,NA,"NNE",11.1,986.2,1011,NA,3,2.5,NA,10
"190",190,"2021-01-08 00:00:00",25.2,3,24,NA,NA,"NNW",3.7,985.8,1010.4,"0.0/6h",3,2.5,NA,10
"189",189,"2021-01-08 03:00:00",23.8,1.2,23,NA,NA,"N",11.1,984.8,1008.4,NA,3,2.5,NA,10
"188",188,"2021-01-08 06:00:00",23,4.2,29,NA,20.4,"N",11.1,985.6,1010.4,"0.0/24h",3,2.5,10.6,10
"187",187,"2021-01-08 09:00:00",32,-7,8,NA,NA,"E",25.9,987.6,1012.3,NA,3,2.5,NA,10
"186",186,"2021-01-08 12:00:00",38,-2.4,8,NA,NA,"ENE",22.2,985.6,1010.1,"0.0/6h",5,2.5,NA,10
"185",185,"2021-01-08 15:00:00",39,-2.8,7,NA,NA,"E",18.5,983.2,1007.7,NA,5,2.5,NA,10
"184",184,"2021-01-08 18:00:00",35,0.4,11,39.5,NA,"E",11.1,983.9,1008.6,"0.0/12h",5,2.5,NA,10
"183",183,"2021-01-08 21:00:00",29,3.8,20,NA,NA,"NNE",7.4,985.9,1010.6,NA,5,2.5,NA,10
"182",182,"2021-01-09 00:00:00",26.4,4,24,NA,NA,"CAL",0,985.6,1010.1,"0.0/6h",5,2.5,NA,10
"181",181,"2021-01-09 03:00:00",26,3.2,23,NA,NA,"NE",11.1,984.5,1008.9,NA,5,2.5,NA,10
"180",180,"2021-01-09 06:00:00",25.4,2.8,23,NA,24.2,"NE",14.8,985.7,1010.3,"0.0/24h",5,2.5,10.8,6
"179",179,"2021-01-09 09:00:00",31.4,0,13,NA,NA,"E",22.2,987.2,1011.9,NA,5,2.5,NA,10
"178",178,"2021-01-09 12:00:00",37.3,-1.1,9,NA,NA,"E",18.5,985.5,1010,"0.0/6h",5,2.5,NA,10
"177",177,"2021-01-09 15:00:00",38.8,-1,8,NA,NA,"E",18.5,983,1007.4,NA,5,2.5,NA,10
"176",176,"2021-01-09 18:00:00",35,2.6,13,39,NA,"E",7.4,983.1,1007.7,"0.0/12h",5,2.5,NA,10
"175",175,"2021-01-09 21:00:00",29,4.3,21,NA,NA,"CAL",0,985.4,1010.1,NA,5,2.5,NA,10
"174",174,"2021-01-10 00:00:00",26,6.1,28,NA,NA,"CAL",0,985.2,1009.7,"0.0/6h",5,2.5,NA,10
"173",173,"2021-01-10 03:00:00",22.5,4.6,31,NA,NA,"CAL",0,984.3,1008.9,NA,5,2.5,NA,10
"172",172,"2021-01-10 06:00:00",23.6,1.2,23,NA,21.5,"NE",7.4,984.8,1009.6,"0.0/24h",5,2.5,10.9,10
"171",171,"2021-01-10 09:00:00",30.5,-0.4,14,NA,NA,"E",14.8,986.6,1011.3,NA,3,2.5,NA,10
"170",170,"2021-01-10 12:00:00",30.9,24.7,70,NA,NA,"W",22.2,987.4,1012.3,"0.0/6h",6,0.6,NA,15
"169",169,"2021-01-10 15:00:00",37,-0.4,9,NA,NA,"ENE",18.5,982.4,1007,NA,3,2.5,NA,10
"168",168,"2021-01-10 18:00:00",33.8,-0.5,11,37.4,NA,"ENE",14.8,984.7,1007.4,"0.0/12h",3,2.5,NA,10
"167",167,"2021-01-10 21:00:00",28.4,4.6,22,NA,NA,"CAL",0,984.8,1009.5,NA,3,2.5,NA,10
"166",166,"2021-01-11 00:00:00",25.4,5.4,28,NA,NA,"CAL",0,984.5,1009.1,"0.0/6h",3,2.5,NA,10
"165",165,"2021-01-11 03:00:00",23,5.4,32,NA,NA,"CAL",0,983.8,1008.4,NA,3,2.5,NA,10
